AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, Temperature
0.215, -0.455, 9.912, 0.000, -0.488, 0.244, 27.768
0.220, -0.436, 9.927, 0.000, -0.488, 0.244, 27.766
0.201, -0.445, 9.903, 0.000, -0.488, 0.244, 27.766
0.192, -0.455, 9.927, 0.000, -0.488, 0.244, 27.758
0.211, -0.455, 9.898, 0.000, -0.488, 0.244, 27.724
0.215, -0.445, 9.884, 0.000, -0.488, 0.244, 27.754
0.201, -0.436, 9.917, 0.000, -0.488, 0.244, 27.758
0.206, -0.436, 9.874, 0.000, -0.488, 0.244, 27.746
0.201, -0.450, 9.908, 0.000, -0.488, 0.244, 27.775
0.201, -0.455, 9.908, 0.000, -0.488, 0.244, 27.738
0.215, -0.445, 9.931, 0.000, -0.488, 0.244, 27.750
0.192, -0.450, 9.898, 0.061, -0.549, 0.244, 27.728
0.225, -0.426, 9.893, 0.000, -0.549, 0.244, 27.772
0.177, -0.441, 9.893, 0.000, -0.488, 0.305, 27.756
0.192, -0.445, 9.908, 0.000, -0.488, 0.244, 27.764
0.201, -0.431, 9.903, 0.000, -0.488, 0.244, 27.754
0.206, -0.455, 9.946, 0.000, -0.488, 0.244, 27.750
0.182, -0.426, 9.903, 0.000, -0.488, 0.244, 27.728
0.196, -0.450, 9.922, 0.000, -0.488, 0.244, 27.732
0.196, -0.445, 9.903, 0.000, -0.488, 0.244, 27.772
0.196, -0.450, 9.884, 0.000, -0.488, 0.244, 27.732
0.215, -0.426, 9.922, 0.000, -0.488, 0.305, 27.766
0.196, -0.445, 9.912, 0.000, -0.488, 0.244, 27.732
0.215, -0.445, 9.893, 0.000, -0.549, 0.305, 27.738
0.187, -0.455, 9.927, 0.000, -0.488, 0.244, 27.710
0.206, -0.445, 9.917, 0.000, -0.488, 0.244, 27.738
0.206, -0.445, 9.912, 0.000, -0.488, 0.244, 27.722
0.206, -0.455, 9.917, 0.000, -0.488, 0.305, 27.775
0.201, -0.455, 9.898, 0.000, -0.488, 0.244, 27.718
0.201, -0.445, 9.888, 0.000, -0.549, 0.305, 27.779
0.192, -0.450, 9.912, 0.000, -0.488, 0.244, 27.732
0.192, -0.441, 9.922, 0.000, -0.549, 0.244, 27.726
0.182, -0.450, 9.912, 0.000, -0.488, 0.244, 27.742
0.201, -0.441, 9.917, 0.000, -0.488, 0.244, 27.712
0.206, -0.426, 9.903, 0.000, -0.488, 0.244, 27.734
0.206, -0.450, 9.912, 0.000, -0.488, 0.244, 27.710
0.187, -0.445, 9.912, 0.000, -0.488, 0.305, 27.730
0.201, -0.460, 9.893, 0.000, -0.488, 0.244, 27.724
0.206, -0.426, 9.893, 0.000, -0.488, 0.244, 27.730
0.211, -0.455, 9.922, 0.000, -0.488, 0.305, 27.748
0.215, -0.441, 9.951, 0.000, -0.488, 0.244, 27.760
0.201, -0.436, 9.908, 0.000, -0.488, 0.244, 27.724
0.192, -0.441, 9.908, 0.000, -0.488, 0.244, 27.736
0.196, -0.436, 9.893, 0.000, -0.488, 0.244, 27.709
0.211, -0.436, 9.884, 0.000, -0.488, 0.244, 27.669
0.211, -0.441, 9.912, 0.000, -0.488, 0.244, 27.677
0.211, -0.445, 9.908, 0.000, -0.488, 0.305, 27.718
0.211, -0.445, 9.912, 0.000, -0.488, 0.244, 27.661
0.192, -0.441, 9.908, 0.000, -0.488, 0.305, 27.707
0.206, -0.417, 9.903, 0.000, -0.488, 0.244, 27.730
0.201, -0.431, 9.927, 0.000, -0.549, 0.244, 27.707
0.177, -0.464, 9.927, 0.000, -0.488, 0.244, 27.716
0.201, -0.450, 9.908, 0.000, -0.488, 0.244, 27.703
0.196, -0.464, 9.903, 0.000, -0.488, 0.244, 27.693
0.211, -0.436, 9.927, 0.000, -0.549, 0.305, 27.693
0.177, -0.445, 9.908, 0.000, -0.488, 0.244, 27.681
0.201, -0.436, 9.922, 0.000, -0.488, 0.244, 27.695
0.206, -0.445, 9.912, 0.061, -0.488, 0.244, 27.683
0.220, -0.436, 9.908, 0.000, -0.488, 0.244, 27.693
0.211, -0.445, 9.908, 0.000, -0.488, 0.244, 27.663
0.215, -0.460, 9.893, 0.000, -0.488, 0.244, 27.720
0.182, -0.426, 9.893, 0.000, -0.488, 0.244, 27.683
0.196, -0.436, 9.893, 0.000, -0.488, 0.305, 27.760
0.211, -0.431, 9.884, 0.000, -0.549, 0.244, 27.693
0.182, -0.436, 9.898, 0.000, -0.488, 0.305, 27.730
0.196, -0.445, 9.927, 0.000, -0.488, 0.244, 27.703
0.206, -0.455, 9.922, 0.061, -0.488, 0.244, 27.707
0.206, -0.441, 9.903, 0.061, -0.488, 0.244, 27.738
0.230, -0.436, 9.893, 0.000, -0.488, 0.244, 27.710
0.211, -0.445, 9.908, 0.000, -0.488, 0.244, 27.681
0.206, -0.436, 9.879, 0.000, -0.488, 0.244, 27.691
0.187, -0.431, 9.908, 0.000, -0.488, 0.244, 27.740
0.211, -0.441, 9.903, 0.061, -0.488, 0.305, 27.703
0.211, -0.460, 9.879, 0.000, -0.488, 0.244, 27.659
0.201, -0.436, 9.898, 0.000, -0.488, 0.244, 27.697
0.215, -0.450, 9.922, 0.000, -0.488, 0.305, 27.679
0.215, -0.450, 9.922, 0.000, -0.488, 0.244, 27.728
